id,kind,status,detail,path
rnd_gaussian_avatar,pdf,present,5822795,papers/rnd_gaussian_avatar-relightable-and-dynamic-gaussian-avatar-reconstruction-from-monocular-video.pdf
rnd_gaussian_avatar,page,present,49308,pages/rnd_gaussian_avatar-relightable-and-dynamic-gaussian-avatar-reconstruction-from-monocular-video.html
rogsplat,pdf,present,5444925,papers/rogsplat-rogsplat-learning-robust-generalizable-human-gaussian-splatting-from-sparse-mult.pdf
rogsplat,page,present,46390,pages/rogsplat-rogsplat-learning-robust-generalizable-human-gaussian-splatting-from-sparse-mult.html
sceneshine,pdf,present,10002650,papers/sceneshine-sceneshine-illumination-aware-human-scene-gaussian-re-splatting-from-mobile-devi.pdf
sceneshine,page,present,6169,pages/sceneshine-sceneshine-illumination-aware-human-scene-gaussian-re-splatting-from-mobile-devi.html
sgia,pdf,present,9386729,papers/sgia-surfel-based-gaussian-inverse-rendering-for-fast-and-relightable-dynamic-human-r.pdf
sgia,page,present,47620,pages/sgia-surfel-based-gaussian-inverse-rendering-for-fast-and-relightable-dynamic-human-r.html
spacetime_gs,pdf,present,4341619,papers/spacetime_gs-spacetime-gaussian-feature-splatting-for-real-time-dynamic-view-synthesis.pdf
spacetime_gs,page,present,27601,pages/spacetime_gs-spacetime-gaussian-feature-splatting-for-real-time-dynamic-view-synthesis.html
splattingavatar,pdf,present,2193186,papers/splattingavatar-splattingavatar-realistic-real-time-human-avatars-with-mesh-embedded-gaussian-sp.pdf
splattingavatar,page,present,47221,pages/splattingavatar-splattingavatar-realistic-real-time-human-avatars-with-mesh-embedded-gaussian-sp.html
uma,pdf,present,49029510,papers/uma-uma-ultra-detailed-human-avatars-via-multi-level-surface-alignment.pdf
uma,page,present,15927,pages/uma-uma-ultra-detailed-human-avatars-via-multi-level-surface-alignment.html
v3,pdf,present,18031530,papers/v3-v-3-viewing-volumetric-videos-on-mobiles-via-streamable-2d-dynamic-gaussians.pdf
v3,page,present,8503,pages/v3-v-3-viewing-volumetric-videos-on-mobiles-via-streamable-2d-dynamic-gaussians.html
vid2avatar_pro,pdf,present,10111819,papers/vid2avatar_pro-vid2avatar-pro-authentic-avatar-from-videos-in-the-wild-via-universal-prior.pdf
vid2avatar_pro,page,present,46951,pages/vid2avatar_pro-vid2avatar-pro-authentic-avatar-from-videos-in-the-wild-via-universal-prior.html
wonderhuman,pdf,present,9793025,papers/wonderhuman-wonderhuman-hallucinating-unseen-parts-in-dynamic-3d-human-reconstruction.pdf
wonderhuman,page,present,48770,pages/wonderhuman-wonderhuman-hallucinating-unseen-parts-in-dynamic-3d-human-reconstruction.html
